settlement	settl_name	male2011	female2011	total2011	ppocc2011	unocc2011	vacant2011	hs2011	pcvac2011	area2011	popdensity
19014	Killorglin	974.0	1108.0	2082.0	896.0	310.0	283.0	1206.0	23.5	2.32	897.0
18091	Churchtown	237.0	272.0	509.0	165.0	66.0	65.0	231.0	28.1	0.26	1971.0
33050	St. Johnston	282.0	301.0	583.0	226.0	34.0	31.0	260.0	11.9	0.43	1355.0
33035	Newtowncunningham	531.0	536.0	1067.0	359.0	56.0	45.0	415.0	10.8	0.82	1304.0
18088	Carrignavar	242.0	257.0	499.0	148.0	22.0	18.0	170.0	10.6	0.28	1781.0
18084	Belgooly	366.0	399.0	765.0	248.0	24.0	18.0	272.0	6.6	0.3	2512.0
35013	Birr Legal Town and its Environs	2852.0	2970.0	5822.0	2141.0	434.0	376.0	2575.0	14.6	9.39	620.0
35015	Lanesborough-Ballyleague	637.0	740.0	1377.0	541.0	204.0	188.0	745.0	25.2	1.29	1065.0
18099	Ballymacoda	70.0	58.0	128.0	50.0	47.0	43.0	97.0	44.3	0.13	1021.0
18038	Dromina	136.0	133.0	269.0	102.0	21.0	20.0	123.0	16.3	0.24	1138.0
18085	Ballygarvan	284.0	256.0	540.0	174.0	6.0	4.0	180.0	2.2	0.26	2112.0
18102	Riverstick	283.0	309.0	592.0	199.0	49.0	45.0	248.0	18.1	0.38	1549.0
18075	Drimoleague	223.0	245.0	468.0	213.0	67.0	63.0	280.0	22.5	0.82	568.0
19013	Gneevgullia	121.0	135.0	256.0	96.0	15.0	15.0	111.0	13.5	0.42	613.0
19002	Glenbeigh	142.0	143.0	285.0	116.0	171.0	170.0	287.0	59.2	0.7	405.0
19031	Fenit	250.0	277.0	527.0	218.0	88.0	77.0	306.0	25.2	0.68	771.0
19012	Cromane	57.0	58.0	115.0	48.0	40.0	39.0	88.0	44.3	0.85	135.0
18068	Knocknagree	96.0	103.0	199.0	89.0	25.0	24.0	114.0	21.1	0.37	533.0
32006	Swanlinbar	104.0	107.0	211.0	91.0	55.0	50.0	146.0	34.2	0.46	459.0
16023	Feakle	55.0	58.0	113.0	50.0	10.0	9.0	60.0	15.0	0.31	365.0
18083	Rathard	279.0	281.0	560.0	157.0	11.0	8.0	168.0	4.8	0.5	1128.0
16008	Ennistymon	474.0	483.0	957.0	428.0	160.0	158.0	588.0	26.9	1.0	961.0
08009	Mountmellick Legal Town and its Environs	2278.0	2457.0	4735.0	1724.0	285.0	262.0	2009.0	13.0	3.77	1255.0
09005	Longford Legal Town and its Environs	4639.0	4962.0	9601.0	3738.0	1107.0	1010.0	4845.0	20.8	10.73	895.0
10001	Ardee Legal Town and its Environs	2438.0	2489.0	4927.0	1855.0	303.0	261.0	2158.0	12.1	6.79	726.0
27017	Moylough	254.0	249.0	503.0	194.0	47.0	39.0	241.0	16.2	0.86	583.0
19006	Castlegregory	116.0	127.0	243.0	110.0	159.0	152.0	269.0	56.5	0.4	612.0
18034	Rathcormac	779.0	755.0	1534.0	575.0	100.0	78.0	675.0	11.6	0.85	1809.0
18030	Castletownroche	218.0	217.0	435.0	189.0	52.0	46.0	241.0	19.1	0.41	1063.0
18008	Castletownbere	437.0	475.0	912.0	391.0	159.0	142.0	550.0	25.8	1.16	785.0
16026	Whitegate	82.0	94.0	176.0	78.0	20.0	18.0	98.0	18.4	0.46	385.0
18105	Ballinspittle	92.0	102.0	194.0	79.0	37.0	37.0	116.0	31.9	0.17	1115.0
18062	Carrigtwohill	2226.0	2325.0	4551.0	1655.0	179.0	129.0	1834.0	7.0	1.54	2959.0
18015	Carrigaline	7195.0	7580.0	14775.0	4974.0	406.0	260.0	5380.0	4.8	4.41	3348.0
33042	Milford	475.0	495.0	970.0	381.0	187.0	182.0	568.0	32.0	1.53	633.0
18044	Churchbay	155.0	167.0	322.0	125.0	63.0	60.0	188.0	31.9	0.39	818.0
18074	Castletownshend	92.0	95.0	187.0	73.0	107.0	105.0	180.0	58.3	0.57	328.0
18104	Crossbarry	184.0	170.0	354.0	105.0	7.0	5.0	112.0	4.5	0.19	1830.0
30015	Roscommon	2769.0	2924.0	5693.0	2076.0	466.0	408.0	2542.0	16.1	9.11	625.0
05004	Glencullen	138.0	130.0	268.0	82.0	6.0	6.0	88.0	6.8	0.54	495.0
30010	Loughglinn	88.0	116.0	204.0	93.0	37.0	34.0	130.0	26.2	0.33	617.0
03006	Saggart	1101.0	1043.0	2144.0	853.0	314.0	282.0	1167.0	24.2	0.96	2240.0
31021	Dromore West	103.0	115.0	218.0	90.0	26.0	25.0	116.0	21.6	0.24	899.0
18100	Saleen	180.0	194.0	374.0	139.0	17.0	13.0	156.0	8.3	0.16	2308.0
03005	Rathcoole	1708.0	1713.0	3421.0	1296.0	160.0	111.0	1456.0	7.6	1.38	2486.0
12020	Geashill	177.0	198.0	375.0	133.0	17.0	15.0	150.0	10.0	0.32	1183.0
03004	Newcastle	1314.0	1345.0	2659.0	997.0	168.0	128.0	1165.0	11.0	2.13	1247.0
18003	Crookstown	152.0	133.0	285.0	101.0	10.0	8.0	111.0	7.2	0.76	377.0
16029	Hacketstown	311.0	289.0	600.0	219.0	56.0	52.0	275.0	18.9	0.48	1241.0
18098	Mogeely	159.0	168.0	327.0	126.0	35.0	33.0	161.0	20.5	0.32	1016.0
